id,X_cor,Y_cor,Elevation,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
84,1211998.243,772878.63,1090.0, , , , , ,1,1, , ,1, , , , 
85,1218791.913,776496.641,1167.0, , , , ,1,1,1, , ,1, , , , 
86,1245530.298,811101.3194,938.0, , , , , , , , , , ,1, , , 
87,1261056.495,796359.7728,830.0, , ,1, , , , ,1,1,1,1, , , 
88,1243245.104,771962.059,963.0, , ,1,1,1, , ,1, ,1,1, , , 
89,1206186.158,769049.2594,956.0, , , , ,1,1,1,1,1,1,1, , , 
90,1306374.983,753082.5937,1052.0, ,1,1,1,1, , ,1,1, ,1, , , 
91,1302748.3,752225.5611,1072.0, ,1,1,1,1, , ,1,1, ,1, , , 
92,1298659.71,756108.4391,1057.0, , ,1,1, , , ,1, ,1,1, , , 
93,1296239.752,756929.1981,1049.0, , ,1,1, , , ,1, ,1,1, , , 
94,1220828.33,752979.7207,1070.0, , , , , , ,1, , , ,1, , , 
95,1294242.104,726988.853,1110.0, , ,1, , , , , , , ,1, , , 
96,1299732.058,719029.301,1052.0, , ,1, , , ,1,1,1, ,1, , , 
97,1341591.343,720826.0808,1157.0, , , , , , , , , , ,1, , , 
98,1336906.975,717123.6346,1178.0, , , , , , , ,1,1,1,1, , , 
99,1317207.656,693110.8175,873.0, , , , ,1,1,1, ,1, ,1, , , 
100,1332638.065,691721.1204,1066.0, , , ,1, ,1,1, , ,1,1, , , 
101,1335520.163,692125.0946,1086.0, , ,1,1, ,1,1,1,1,1,1, , , 
102,1312194.853,683752.7146,1347.0, , ,1,1,1,1,1,1, ,1,1, , , 
103,1359242.374,678293.1464,1147.0, , , , , , , , , , ,1, , , 
104,1352615.461,680797.3536,1229.0, , , , , , , , , , ,1, , , 
105,1310047.263,680883.0314,1097.0, , ,1,1,1,1,1,1,1,1,1, , , 
106,1279543.455,679765.2838,1246.0, , , ,1, , ,1,1,1, ,1, , , 
107,1363565.565,670570.1654,1138.0, , , , , , ,1,1, , ,1, , , 
108,1362039.587,659335.0058,1036.0, , , , , , ,1,1, ,1,1, , , 
109,1360950.576,659142.0016,1245.0, , , , , , ,1,1, ,1,1, , , 
110,1358364.982,665612.8077,1272.0, , , , , , ,1,1, , ,1, , , 
111,1357775.843,665717.0405,1252.0, , , , , , ,1,1, , ,1, , , 
112,1350255.64,675426.8047,1081.0, , , , , , , ,1, , ,1, , , 
113,1326118.761,671699.4252,1226.0, , , , , , , , ,1, ,1, , , 
114,1327849.892,673248.2541,1059.0, , , , , , , , ,1, ,1, , , 
115,1313990.891,672916.4476,845.0, , ,1, , , ,1,1, ,1,1, , , 
116,1353869.592,670410.2444,931.0, , , , , , , ,1, , ,1, , , 
117,1315658.718,669908.158,1096.0, , ,1, , , ,1,1,1, ,1, , , 
118,1349861.139,660353.1997,1252.0, , , , , , , , ,1,1,1, , , 
119,1315285.137,652999.3716,1252.0, , , , , ,1, , ,1, ,1, , , 
120,1349698.184,659769.1301,1278.0, , , , , , , , , ,1,1, , , 
121,1297396.705,659498.3518,1333.0, , ,1,1,1, ,1,1,1,1,1, , , 
122,1308563.628,657418.7681,1429.0, , , , , ,1, , , ,1,1, , , 
123,1342685.752,646556.8944,1035.0, , , , , , , , , ,1,1, , , 
124,1296879.148,641027.6291,1326.0, , , , , , ,1,1,1, ,1, , , 
125,1244859.928,841328.6432,849.0, , , , , , , , , , , ,1, , 
126,1233650.165,847179.6668,746.0, , , , , , , , ,1, , ,1, , 
127,1268233.031,807736.7449,909.0, , , , , ,1, ,1,1, , ,1, , 
128,1269418.559,809132.6412,896.0, , , , , ,1, ,1,1, , ,1, , 
129,1260926.972,817204.9088,932.0, , , ,1,1, ,1, ,1,1,1,1, , 
130,1243355.811,829741.7885,591.0, , , ,1, ,1, , ,1,1,1,1,1, 
131,1255340.846,820510.5544,844.0, , , ,1,1, , , ,1,1,1,1,1, 
